,Pedigree information,,,,,,Maturity indicators,,,,,,,,Disease resistance (1-5),,,,,,,,,,,,,,Insect resistance,,,,,Herbicide,Plant characteristics,,,,,,,,,,,,,Ear characteristics,,,,,,Grain characteristics,,,,,,,Combining ability for yield,,,,,,,Descriptive Remarks,,
293,CL02806,P28,(AC7627*28TSR)-2-4-1-1-BB-f,(AC7627/P28TSR)-2-4-1-1-B,(AC7627/28TSR)-2-4-1-1-BB-F,Lowland,,,980,,,,66,66,3.8,,2.3,,,,,,,,,,,1.5,,,,,,,178,,,,,2.0,3.0,,3.0,,,,,,3.3,3.0,10-12,4.0,,Y,SD,No,,,,,,2.0,,,, ,"POP24, 27, 36, Suwan1, TSR, P25",,1994,
294,CL00302,SintAmTSR,SINT.AM.TSR-93-2-2-2-2-BB-f,SINTAMTSR-93-2-2-2-2-B,SINTAMTSR-93-2-2-2-2-BB-F,Lowland,,,918,,,,63,62,2.7,,2.3,,,,,,,,,,,1.7,,,,,,,192,,,,,2.5,2.5,,1.5,,,,,,2.2,1.5,14-18,1.0,,Y,SF,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
295,CL00304,SintAmTSR,SINT.AM.TSR-76-2-1-1-1-BB-f,SINTAMTSR-76-2-1-1-1-B,SINTAMTSR-76-2-1-1-1-BB-F,Lowland,,,889,,,,60,60,2.2,,1.5,,,,,,,,,,,1.5,,,,,,,187,,,,,3.0,2.5,,2.0,,,,,,2.2,2.0,12.0,1.0,,Y,F,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
296,CL00306,SintAmTSR,SINT.AM.TSR-76-1-1-1-2-BB-f,SINTAMTSR-76-1-1-1-2-B,SINTAMTSR-76-1-1-1-2-BB-F,Lowland,,,889,,,,60,60,3.5,,-,,,,,,,,,,,1.5,,,,,,,197,,,,,2.5,2.5,,3.0,,,,,,2.8,3.0,12.0,1.0,,Y,F,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
297,CL00308,SintAmTSR,SINT.AM.TSR-23-3-1-1-1-BB-f,SINTAMTSR-23-3-1-1-1-B,SINTAMTSR-23-3-1-1-1-BB-F,Lowland,,,994,,,,64,67,1.7,,-,,,,,,,,,,,1.5,,,,,,,177,,,,,3.0,3.0,,3.0,,,,,,2.2,3.0,10-14,2.0,,Y,SD,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
298,CL00310,SintAmTSR,SINT.AM.TSR-7-4-2-2-1-BB-f,SINTAMTSR-7-4-2-2-1-B,SINTAMTSR-7-4-2-2-1-BB-F,Lowland,,,918,,,,62,62,2.3,,1.5,,,,,,,,,,,1.7,,,,,,,155,,,,,3.0,3.0,,1.0,,,,,,2.5,1.0,14.0,2.0,,Y,SF,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
299,CL00312,SintAmTSR,SINT.AM.TSR-76-1-2-2-2-BB-f,SINTAMTSR-76-1-2-2-2-B,SINTAMTSR-76-1-2-2-2-BB-F,Lowland,,,889,,,,59,60,3.7,,1.7,,,,,,,,,,,1.5,,,,,,,202,,,,,3.0,2.5,,1.5,,,,,,2.5,1.5,12.0,2.0,,Y,F,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
300,CL00314,SintAmTSR,SINT.AM.TSR-76-1-2-3-1-BB-f,SINTAMTSR-76-1-2-3-1-B,SINTAMTSR-76-1-2-3-1-BB-F,Lowland,,,859,,,,58,58,3.5,,-,,,,,,,,,,,1.0,,,,,,,182,,,,,2.5,2.7,,2.5,,,,,,2.5,2.5,10-12,2.0,,Y,F,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
301,CL00316,SintAmTSR,SINT.AM.TSR-76-2-1-3-4-BB-f,SINTAMTSR-76-2-1-3-4-B,SINTAMTSR-76-2-1-3-4-BB-F,Lowland,,,874,,,,60,59,3.7,,1.8,,,,,,,,,,,1.5,,,,,,,197,,,,,4.0,3.5,,2.5,,,,,,2.0,2.5,12-14,2.0,,Y,SF,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
302,CL00318,SintAmTSR,SINT.AM.TSR-7-1-2-B-1-1-BB-f,SINTAMTSR-7-1-2-B-1-1-B,SINTAMTSR-7-1-2-B-1-1-BB-F,Lowland,,,1022,,,,66,69,3.0,,-,,,,,,,,,,,1.7,,,,,,,175,,,,,3.5,3.0,,2.5,,,,,,2.5,2.5,14.0,2.0,,Y,SD,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
303,CL00320,SintAmTSR,SINT.AM.TSR-23-3-2-4-3-BB-f,SINTAMTSR-23-3-2-4-3-B,SINTAMTSR-23-3-2-4-3-BB-F,Lowland,,,949,,,,63,64,2.2,,-,,,,,,,,,,,2.3,,,,,,,173,,,,,3.0,2.5,,2.0,,,,,,3.2,2.0,10.0,2.0,,Y,F,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
304,CL00304,SintAmTSR,SINT.AM.TSR-76-1-2-3-2-BB-f,SINTAMTSR-76-1-2-3-2-B,SINTAMTSR-76-1-2-3-2-BB-F,Lowland,,,904,,,,61,61,2.2,,1.5,,,,,,,,,,,1.7,,,,,,,183,,,,,3.0,2.5,,2.0,,,,,,2.7,2.0,10-12,3.0,,Y,F,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
305,CL00302,SintAmTSR,SINT.AM.TSR-23-2-2-1-3-BB-f,SINTAMTSR-23-2-2-1-3-B,SINTAMTSR-23-2-2-1-3-BB-F,Lowland,,,933,,,,62,63,2.8,,-,,,,,,,,,,,1.5,,,,,,,182,,,,,2.0,2.5,,2.5,,,,,,2.7,2.5,14.0,3.0,,Y,D,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
306,CL00312,SintAmTSR,SINT.AM.TSR-19-1-2-3-1-BB-f,SINTAMTSR-19-1-2-3-1-B,SINTAMTSR-19-1-2-3-1-BB-F,Lowland,,,918,,,,61,62,3.2,,2.4,,,,,,,,,,,1.5,,,,,,,183,,,,,3.0,2.5,,3.0,,,,,,2.2,3.0,12.0,3.0,,Y,SD,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
307,CL00308,SintAmTSR,SINT.AM.TSR-61-3-2-8-2-BB-f,SINTAMTSR-61-3-2-8-2-B,SINTAMTSR-61-3-2-8-2-BB-F,Lowland,,,949,,,,62,64,2.3,,2.4,,,,,,,,,,,1.5,,,,,,,157,,,,,3.0,3.0,,1.5,,,,,,2.5,1.5,12-14,4.0,,Y,SF,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
308,CL00330,SintAmTSR,SINT.AM.TSR-23-3-1-2-4-BB-f,SINTAMTSR-23-3-1-2-4-B,SINTAMTSR-23-3-1-2-4-BB-F,Lowland,,,933,,,,61,63,3.2,,1.7,,,,,,,,,,,1.5,,,,,,,155,,,,,2.5,3.0,,2.5,,,,,,2.8,2.5,10-12,4.0,,Y,SD,No,,,,,,2.0,,,, ,"POP24, 28, 36; POOL26",,1994,
309,,P43,Ac.8243-47-1-B-#-#,AC8243-47-1-B,AC8243-47-1-B-##,Lowland,,,900,,,,,,1.5,,1.5,,,,,,,,,,,1.5,,,,,,,170,,,,,,,,2.0,,,,,,,,,,,W,D,No,,,,,,,,,, ,"POP22, 25, 29, 32 and P2, P24",Tar spot,1994,
310,,P43,Ferke 8243-33-1-B-#-#,FERKE8243-33-1-B,FERKE8243-33-1-B-##,Lowland,,,905,,,,,,1.5,,1.5,,,,,,,,,,,1.5,,,,,,,175,,,,,,,,2.0,,,,,,,,,,,W,D,No,,,,,,,,,, ,"POP22, 25, 29, 32 and P2, P24",,1994,
311,,P500,S89500 F2-2-2-2-B*5,S89500-F2-2-2-2-B,S89500F2-2-2-2-B*5,Subtropical,Late,,1027,,,,,,,1.5,,2.0,,,,,,,,,,2.1,,,,,,,201,,,,,,,,2.5,,,,,,,,,,,W,SF,No,,,,,,,,,,A TESTER,"CML78, 321, L314",E turcicum,1995,
312,,P500,S89500 F2-2-2-1-1-B*5,S89500-F2-2-2-1-1-B,S89500F2-2-2-1-1-B*5,Subtropical,Interm,,995,,,,,,,2.0,,1.9,,,,,,,5.0,,,3.0,,,,,,,183,,,,,,,,2.5,,,,,,,,,,,W,SF,No,,,,,,1.0,,,,A TESTER,"CML313, 314, 315, 321","GLS, E turcicum",1995,
313,,P501,P501c0F6-3-3-2-1-B-B,P501-C0-F6-3-3-2-1-B,P501C0F6-3-3-2-1-BB,Subtropical,Late,,1117,,,,,,,3.5,,2.0,,,,,,,,,,2.0,,,,,,,206,,,,,,,,3.0,,,,,,,,,,,W,SD,No,,,,,,,,,,B,"CML97, 312",,1995,
314,,P600,P600c0F14-2-1-2-B*4,P600-C0-F14-2-1-2-B,P600C0F14-2-1-2-B*4,Subtropical,Interm,,981,,,,,,,4.5,,2.0,,,,,,,,,,1.7,,,,,,,183,,,,,,,,2.0,,,,,,,,,,,W,D,No,,,,,,,,,,B,"CML78, 311, 312",,1995,
315,,P500,P500c0F246-4-1-2-2-B*3,P500-C0-F246-4-1-2-2-B,P500C0F246-4-1-2-2-B*3,Subtropical,Interm,,995,,,,,,,2.0,,2.5,,,,,,,,,,2.5,,,,,,,148,,,,,,,,2.0,,,,,,,,,,,W,D,No,,,,,,,,,,A,"CML312, 321, (CML264xCML273)",,1995,
316,,P500,P500c0F114-1-1-B*3,P500-C0-F114-1-1-B,P500C0F114-1-1-B*3,Subtropical,Late,,1087,,,,,,,2.5,,2.5,,,,,,,,,,3.0,,,,,,,185,,,,,,,,3.0,,,,,,,,,,,W,SD,No,,,,,,,,,,B,"CML78, 311, 312",,1995,
317,,P47,P47c4F90-1-2-B*4,P47-C4-F90-1-2-B,P47C4F90-1-2-B*4,Subtropical,Interm,,981,,,,,,,3.0,,1.5,,,,,,,,,,2.5,,,,,,,203,,,,,,,,2.5,,,,,,,,,,,W,SF,No,,,,,,,,,,A,"(CML321xCML322), CML321",,1995,
318,,REC,87[B810(66)S3/G24S2]-B-8-1-1-3-B*4,(B81066/G24)-B-8-1-1-3-B,87[B810(66)S3/G24S2]-B-8-1-1-3-B*4,Subtropical,Interm,,995,,,,,,,3.5,,2.0,,,,,,,,,,2.5,,,,,,,205,,,,,,,,3.0,,,,,,,,,,,W,SD,No,,,,,,,,,,B,"CML78, 311",,1995,
319,,REC,89[Cr.Arg/CIM.Sh Pl NPH]6-3-2-4-B-B,(CRARG/CIMSHPLNPH)-6-3-2-4-B-B,89[CRARG/CIMSHPLNPH]6-3-2-4-BB,Subtropical,Interm,,981,,,,,,,4.0,,2.0,,,,,,,,,,2.5,,,,,,,186,,,,,,,,3.0,,,,,,,,,,,W,SD,No,,,,,,,,,,B,POP501c1,,1995,
320,,P501,P501c0F112-2-5-1-1-B*4,P501-C0-F112-2-5-1-1-B,P501C0F112-2-5-1-1-B*4,Subtropical,Late,,1102,,,,,,,3.5,,2.1,,,,,,,,,,1.6,,,,,,,176,,,,,,,,3.0,,,,,,,,,,,W,SD,No,,,,,,,,,,A,"CML321, 322, 312",,1995,
321,,P502,P502c0F1-1-3-1-B*4,P502-C0-F1-1-3-1-B,P502C0F1-1-3-1-B*4,Subtropical,Late,,1058,,,,,,,2.0,,2.4,,,,,,,,,,1.2,,,,,,,200,,,,,,,,3.5,,,,,,,,,,,W,SF,No,,,,,,,,,,B TESTER,"CML320, 78, 312",E turcicum,1995,
322,,REC,89[L/LMBR]17-B-5-3-1-4-B*4,LLMBR-17-B-5-3-1-4-B,89[L/LMBR]17-B-5-3-1-4-B*4,Subtropical,Interm,,995,,,,,,,3.0,,3.0,,,,,,,,,,2.0,,,,,,,138,,,,,,,,2.0,,,,,,,,,,,W,F,No,,,,,,,,,,B,CML78,,1995,
323,,P33,P33c2(STE)-102-2-B-2-B-1-B*3,P33STE-C2-102-2-B-2-B-1-B,P33C2(STE)-102-2-B-2-B-1-B*3,Subtropical,Interm,,964,,,,,,,3.0,,2.2,,,,,,,,,,1.9,,,,,,,108,,,,,,,,3.5,,,,,,,,,,,Y,F,No,,,,,,,,,,B TESTER,"CML325, 326, 327",,1995,
324,,P33,P33c2(STE)-12-1-B-2-B*4,P33STE-C2-12-1-B-2-B,P33C2(STE)-12-1-B-2-B*4,Subtropical,Interm,,995,,,,,,,3.5,,2.7,,,,,,,,,,2.4,,,,,,,171,,,,,,,,2.0,,,,,,,,,,,Y,F,No,,,,,,,,,,B,"CML325, 326, 327",,1995,
325,,P45,P45c6F28-1-2-B*6,P45-C6-F28-1-2-B,P45C6F28-1-2-B*6,Subtropical,Interm,,949,,,,,,,3.5,,3.0,,,,,,,,,,3.6,,,,,,,170,,,,,,,,2.5,,,,,,,,,,,Y,D,No,,,,,,,,,,A,"CML323, 324, 328",,1995,
326,,P45,P45c6F6-2-1-1-B*5,P45-C6-F6-2-1-1-B,P45C6F6-2-1-1-B*5,Subtropical,Interm,,964,,,,,,,1.5,,3.5,,,,,,,,,,2.4,,,,,,,155,,,,,,,,3.0,,,,,,,,,,,Y,F,No,,,,,,,,,,A,"CML323, 324, 328",,1995,
327,,P45,P45c6F83-3-1-B*5,P45-C6-F83-3-1-B,P45C6F83-3-1-B*5,Subtropical,Late,,1027,,,,,,,3.5,,2.5,,,,,,,,,,2.8,,,,,,,178,,,,,,,,2.5,,,,,,,,,,,Y,SD,No,,,,,,,,,,A TESTER,"CML323, 324, 328",,1995,
328,,REC,89[HTSG29-1/TEYFDMR]#-96-1-2-B*3,(HTSG29-1/TEYFDMR)-#-96-1-2-B,89[HTSG29-1/TEYFDMR]#-96-1-2-B*3,Subtropical,Early,,809,,,,,,,2.5,,3.0,,,,,,,,,,1.6,,,,,,,193,,,,,,,,2.0,,,,,,,,,,,Y,F,No,,,,,,,,,,B,"CML325, 326, 327",,1995,
329,,REC,89[SPMATC4/EV89MDREY]-165-2-B*3,(SPMAT-C4/EV89MDREY)-165-2-B,89[SPMATC4/EV89MDREY]-165-2-B*3,Subtropical,Interm,,964,,,,,, ,,,2.5,,,,,,,,,,3.3,,,,,,,145,,,,,,,,3.0,,,,,,,,,,,Y,F,No,,,,,,,,,,A,CML325,,1995,
330,,REC,89[SUWAN8422]/[P47s3/Mp78:518]#-7-1-1-1-1-1-B-#-B-B,(SUWAN8422)/(P47/MP78-518)-#-7-1-1-1-1-1-B,89[SUWAN8422]/[P47S3/MP78:518]#-7-1-1-1-1-1-B-#-BB,Subtropical,Early,,814,,,,,,,,,3.0,,,,,,,,,,2.5,,,,,,,155,,,,,,,,2.0,,,,,,,,,,,W,SD,No,,,,,,,,,,A,CML321,FAW,1995,
331,,REC,89[SUWAN8422]/[P47s3/Mp78:518]#-183-1-2-1-2-2-B-#-B-B,(SUWAN8422)/(P47/MP78-518)-#-183-1-2-1-2-2-B,89[SUWAN8422]/[P47S3/MP78:518]#-183-1-2-1-2-2-B-#-BB,Subtropical,Early,,870,,,,,,,,,3.5,,,,,,,,,,3.5,,,,,,,181,,,,,,,,1.5,,,,,,,,,,,W,SD,No,,,,,,,,,,AB,"CML311, 314, 321","SWCB, FAW",1995,
332,,REC,89[SUWAN8422]/[P47s3/Mp78:518]#-183-1-7-3-1-2-B-#-B-B,(SUWAN8422)/(P47/MP78-518)-#-183-1-7-3-1-2-B,89[SUWAN8422]/[P47S3/MP78:518]#-183-1-7-3-1-2-B-#-BB,Subtropical,Early,,814,,,,,,,,,3.5,,,,,,,,,,2.5,,,,,,,122,,,,,,,,1.5,,,,,,,,,,,W,SD,No,,,,,,,,,,A,CML321,"SWCB, FAW",1995,
333,,P590,Pob590C3F373-1-1-7-B-#-5-2-B-#-B,P590-C3-F373-1-1-7-B-#-5-2-B,P590C3F373-1-1-7-B-#-5-2-B-#-B,Subtropical,Early,,842,,,,,,,,,2.5,,,,,,,,,,3.0,,,,,,,182,,,,,,,,2.0,,,,,,,,,,,W,F,No,,,,,,,,,,AB,"CML311, 314, 320, 321","SWCB, FAW",1995,
334,,P590,Pob590C3F374-2-1-2-B-#-3-3-B-#-B,P590-C3-F374-2-1-2-B-#-3-3-B,P590C3F374-2-1-2-B-#-3-3-B-#-B,Subtropical,Early,,898,,,,,,,,,2.5,,,,,,,,,,2.5,,,,,,,217,,,,,,,,2.0,,,,,,,,,,,W,SD,No,,,,,,,,,,AB,"CML311, 314, 320, 321","SWCB, FAW",1995,
335,,REC,89[SEYF]/[P47s3/Mp78:518]B-23-1-5-1-1-2-B-#-B,(SEYF)/(P47/MP78-518)-B-23-1-5-1-1-2-B,89[SEYF]/[P47S3/MP78:518]B-23-1-5-1-1-2-B-#-B,Subtropical,Early,,814,,,,,,,,,3.0,,,,,,,,,,2.5,,,,,,,137,,,,,,,,3.0,,,,,,,,,,,Y,SF,No,,,,,,,,,,AB,"CML323, 327",FAW,1995,
336,,REC,89[TL8645]/[P47s3/Mp78:518]B-24-1-1-4-1-3-B-#-B,(TL8645)/(P47/MP78-518)-B-24-1-1-4-1-3-B,89[TL8645]/[P47S3/MP78:518]B-24-1-1-4-1-3-B-#-B,Subtropical,Early,,800,,,,,,,,,3.0,,,,,,,,,,2.5,,,,,,,149,,,,,,,,2.5,,,,,,,,,,,Y,D,No,,,,,,,,,,AB,"CML323, 327","SWCB, FAW",1995,
337,,REC,89[TL8645]/[P47s3/Mp78:518]B-24-1-3-2-1-2-B-#-B,(TL8645)/(P47/MP78-518)-B-24-1-3-2-1-2-B,89[TL8645]/[P47S3/MP78:518]B-24-1-3-2-1-2-B-#-B,Subtropical,Early,,786,,,,,,,,,3.5,,,,,,,,,,2.5,,,,,,,144,,,,,,,,2.5,,,,,,,,,,,Y,D,No,,,,,,,,,,AB,"CML323, 327",FAW,1995,
338,,P590B,Pob590B F84-3-3-5-3-1-1-B-#-B,P590B-F84-3-3-5-3-1-1-B,P590BF84-3-3-5-3-1-1-B-#-B,Subtropical,Early,,786,,,,,,,,,2.0,,,,,,,,,,2.5,,,,,,,169,,,,,,,,3.0,,,,,,,,,,,Y,SF,No,,,,,,,,,,B,CML323,"SWCB, FAW",1995,
339,,P43,LPSEQC3-H297-2-1-1-1-3-#-#-B-B,LAPOSTASEQ-C3-FS297-2-1-1-1-3-B,LPSEQC3-H297-2-1-1-1-3-##-BB,Lowland,,,1020,,,,,,2.0,,2.5,3.0,,,,,,,,,,3.0,,,,,,,169,,,,,,,,3.0,,,,,,,,,,,W,F,No,,,,,,,,,,B,"CML254, 258, 264, 268",Drought,1996,
340,,P43,LPSEQC3-H20-4-1-1-2-3-#-#-B-B,LAPOSTASEQ-C3-FS20-4-1-1-2-3-B,LPSEQC3-H20-4-1-1-2-3-##-BB,Lowland,,,922,,,,,,4.0,,3.5,2.5,,,,,,,,,,2.0,,,,,,,179,,,,,,,,3.0,,,,,,,,,,,W,SD,No,,,,,,,,,,AB,"CML247, 254, 258",Drought,1996,
341,,P43,LPSEQC3-H1-2-2-2-1-1-#-#-B-B,LAPOSTASEQ-C3-FS1-2-2-2-1-1-B,LPSEQC3-H1-2-2-2-1-1-##-BB,Lowland,,,954,,,,,,2.0,,4.0,2.0,,,,,,,,,,3.5,,,,,,,160,,,,,,,,3.0,,,,,,,,,,,W,SD,No,,,,,,,,,,AB,"CML254, 258, 268","Drought, Low N",1996,
342,,P43,LPSEQC3-H1-2-2-3-2-1-#-#-B-B,LAPOSTASEQ-C3-FS1-2-2-3-2-1-B,LPSEQC3-H1-2-2-3-2-1-##-BB,Lowland,,,938,,,,,,2.5,,3.5,2.5,,,,,,,,,,3.0,,,,,,,145,,,,,,,,2.5,,,,,,,,,,,W,SD,No,,,,,,,,,,AB,"CML247, 254, 264","Drought, Low N",1996,
343,,P43,LPSEQC3-H17-1-2-3-2-1-#-#-B-B,LAPOSTASEQ-C3-FS17-1-2-3-2-1-B,LPSEQC3-H17-1-2-3-2-1-##-BB,Lowland,,,988,,,,,,3.5,,3.0,4.0,,,,,,,,,,2.0,,,,,,,163,,,,,,,,3.5,,,,,,,,,,,W,SF,No,,,,,,,,,,AB,"CML247, 254, 264",Drought,1996,
344,,P21,TS6C1-F118-1-2-3-1-2-#-#-B-B,TS6-C1-F118-1-2-3-1-2-B,TS6C1-F118-1-2-3-1-2-##-BB,Lowland,,,988,,,,,,2.5,,2.5,3.5,,,,,,,,,,3.0,,,,,,,140,,,,,,,,1.5,,,,,,,,,,,W,SF,No,,,,,,,,,,AB,"CML258, 268, 339, 340, 341, 342","Drought, Low N",1996,
345,,P390,P390C1SCB-F72-1-1-1-1-#-6-B ,P390SCB-C1-F72-1-1-1-1-#-6-B,P390C1SCB-F72-1-1-1-1-#-6-B,Lowland,,,922,,,,,,3.0,,2.5,2.5,,,,,,,,,,3.0,,,,,,,156,,,,,,,,3.5,,,,,,,,,,,W,F,No,,,,,,,,,,AB,"CML61, 247, 249, 254, 264, 274","SCB, FAW",1996,
346,,P390,AC90390SR(SCB)-F430-1-1-2-3-2-2-#-#-B,AC90390SCBSR-F430-1-1-2-3-2-2-B,AC90390SR(SCB)-F430-1-1-2-3-2-2-##-B,Lowland,,,918,,,,,,2.5,,3.0,3.5,,,,,,,,,,3.0,,,,,,,152,,,,,,,,2.0,,,,,,,,,,,W,F,No,,,,,,,,,,B,"CML61, 254","SCB, FAW",1996,
347,,G26,G26SEQC3-H71-1-1-2-1-B,G26SEQ-C3-FS71-1-1-2-1-B,G26SEQC3-H71-1-1-2-1-B,Lowland,,,905,,,,,,3.0,,2.0,2.5,,,,,,,,,,2.0,,,,,,,150,,,,,,,,3.0,,,,,,,,,,,Y,SD,No,,,,,,,,,,AB,"CML287, CL00331",Drought,1996,
348,,G26,G26SEQC3-H83-1-1-2-1-B,G26SEQ-C3-FS83-1-1-2-1-B,G26SEQC3-H83-1-1-2-1-B,Lowland,,,922,,,,,,3.0,,2.5,2.5,,,,,,,,,,2.5,,,,,,,175,,,,,,,,2.5,,,,,,,,,,,Y,SF,No,,,,,,,,,,B,CML287,Drought,1996,
349,,P36,HTBA89 136-5-1-2TL-1-4-2TL-B-1TL-B-#-#,HTBA89-136-5-1-2TL-1-4-2TL-B-1TL-B,HTBA89136-5-1-2TL-1-4-2TL-B-1TL-B-##,Highland,Early,,,,,982,,,,,,2.5,,,,,,,,,,2.5,,,,,,,125,,,,,,,,3.0,,,,,,,,,,,W,SD,No,,,,,,,,,,A TESTER,"CML239, 240, 241",Low N,1996,
350,,,B.P.V.C.BA90 8-2-2-1-1TL 4-3TL-B-1TL-B-#-#,BPVC-8-2-2-1-1TL-4-3TL-B-1TL-B,BPVCBA908-2-2-1-1TL4-3TL-B-1TL-B-##,Highland,Early,,,,,956,,,,,,2.0,,,,,,,,,,2.0,,,,,,,120,,,,,,,,1.0,,,,,,,,,,,W,SF,No,,,,,,,,,,A,"CML242, 355, 356",,1996,
351,,,B.P.V.C.BA90 163-4-1-1-1TL-1-1TL-B-#-#,BPVC-163-4-1-1-1TL-1-1TL-B,BPVCBA90163-4-1-1-1TL-1-1TL-B-##,Highland,Early,,,,,960,,,,,,2.0,,,,,,,,,,2.0,,,,,,,105,,,,,,,,3.0,,,,,,,,,,,W,SF,No,,,,,,,,,,A,CML356,,1996,
352,,,B.P.V.C. BA90 185-1-1-3-2TL-1-B-#-#,BPVC-185-1-1-3-2TL-1-B,BPVCBA90185-1-1-3-2TL-1-B-##,Highland,Early,,,,,956,,,,,,1.5,,,,,,,,,,1.5,,,,,,,160,,,,,,,,1.0,,,,,,,,,,,W,SF,No,,,,,,,,,,A,CML355,,1996,
353,,,B.P.V.C. BA90 185-2-1-5-1-5TL-B-6TL-B-#-#,BPVC-185-2-1-5-1-5TL-B-6TL-B,BPVCBA90185-2-1-5-1-5TL-B-6TL-B-##,Highland,Early,,,,,917,,,,,,1.5,,,,,,,,,,1.5,,,,,,,150,,,,,,,,2.0,,,,,,,,,,,W,SF,No,,,,,,,,,,A,CML355,,1996,
354,,P85,POB.85 C4 HC13-4-10-4TL-3-1TL-B-#-#,P85-C4-FS13-4-10-4TL-3-1TL-B,P85C4F13-4-10-4TL-3-1TL-B-##,Highland,Early,,,,,924,,,,,,2.0,,,,,,,,,,2.0,,,,,,,145,,,,,,,,2.0,,,,,,,,,,,W,SD,No,,,,,,,,,,A,"CML239, 35, 353",,1996,
355,,P800,POB. 800 C5 HC36-1-6TL-1-1-5TL-B-#-#,P800-C5-FS36-1-6TL-1-1-5TL-B,P800C5F36-1-6TL-1-1-5TL-B-##,Highland,Early,,,,,885,,,,,,1.5,,,,,,,,,,2.5,,,,,,,145,,,,,,,,1.0,,,,,,,,,,,W,SD,No,,,,,,,,,,B,"CML350, 35, 353",,1996,
356,,P800,POB. 800 C5 HC37-1-2TL-1HT-1-10TL-B-#-3,P800-C5-FS37-1-2TL-1HT-1-10TL-B,P800C5F37-1-2TL-1HT-1-10TL-B-#-3,Highland,Early,,,,,918,,,,,,1.5,,,,,,,,,,3.0,,,,,,,136,,,,,,,,1.0,,,,,,,,,,,W,SD,No,,,,,,,,,,B,"CML349, 350, 351",,1996,
357,,SA3,SA3C4HC(6X24)-1-2-2-5-B,SA3-C4-FS(6/24)-1-2-2-5-B,SA3C4F(6/24)-1-2-2-5-B,South America,Late,,942,,,,,,,1.0,,1.0,,,,,,,,1.0,,2.5,,,,,,,180,,,,,,,,3.0,,,,,,,,,,,Y,F,No,,,,,,,,,, ,SA4,Acid soils,1997,
358,,SA3,SA3C4HC(16X25)-2-4-9-7-B,SA3-C4-FS(16/25)-2-4-9-7-B,SA3C4F(16/25)-2-4-9-7-B,South America,Interm,,849,,,,,,,1.0,,1.0,,,,,,,,3.0,,1.5,,,,,,,160,,,,,,,,4.0,,,,,,,,,,,Y,SD,No,,,,,,,,,, ,SA4,Acid soils,1997,
359,,SA3,SA3C4HC(16X25)-2-4-3-1-B,SA3-C4-FS(16/25)-2-4-3-1-B,SA3C4F(16/25)-2-4-3-1-B,South America,Interm,,863,,,,,,,1.0,,3.0,,,,,,,,1.0,,2.0,,,,,,,165,,,,,,,,4.0,,,,,,,,,,,Y,F,No,,,,,,,,,, ,SA4,Acid soils,1997,
360,,SA4,SA4C2HC(21X26)-1-2-2-2-B,SA4-C2-FS(21/26)-1-2-2-2-B,SA4C2F(21/26)-1-2-2-2-B,South America,Late,,927,,,,,,,1.0,,1.0,,,,,,,,3.0,,1.0,,,,,,,175,,,,,,,,3.0,,,,,,,,,,,Y,F,No,,,,,,,,,, ,SA3,Acid soils,1997,
361,,SA4,SA4C2HC(21X26)-4-2-7-3-B,SA4-C2-FS(21/26)-4-2-7-3-B,SA4C2F(21/26)-4-2-7-3-B,South America,Late,,914,,,,,,,1.0,,1.0,,,,,,,,2.0,,1.5,,,,,,,140,,,,,,,,3.5,,,,,,,,,,,Y,D,No,,,,,,,,,, ,SA3,Acid soils,1997,
362,,SA5,SA5HC1-3-9-1-3-4-B,SA5-FS1-3-9-1-3-4-B,SA5F1-3-9-1-3-4-B,South America,Late,,914,,,,,,,1.0,,1.0,,,,,,,,3.0,,1.5,,,,,,,185,,,,,,,,3.0,,,,,,,,,,,Y,F,No,,,,,,,,,, ,SA3,Acid soils,1997,
363,,SA5,SA5HC1-3-9-1-5-2-B,SA5-FS1-3-9-1-5-2-B,SA5F1-3-9-1-5-2-B,South America,Late,,900,,,,,,,1.0,,1.0,,,,,,,,3.5,,1.5,,,,,,,175,,,,,,,,3.0,,,,,,,,,,,Y,F,No,,,,,,,,,, ,SA3,Acid soils,1997,
